                                                 
  T,K          V+        V-           eta          Cq - KHz
   77        5336       3745       0.5256          6054
x            5091       3628       0.5030          5813
   83        5336       3745       0.5256          6054
 x           5090       3628       0.5031          5812
   93        5334       3744       0.5254          6053
  x          5089       3628       0.5028          5811
  103        5333       3744       0.5252          6051
   x         5088       3628       0.5025          5811
  113        5331       3744       0.5246          6050
    x        5087       3628       0.5022          5810
  123        5330       3744       0.5244          6049
     x       5086       3628       0.5020          5809
  135        5328       3744       0.5238          6048
      x      5085       3628       0.5017          5809
  143        5328       3744       0.5238          6048
       x     5085       3628       0.5017          5809
  153        5326       3743       0.5237          6046
        x    5084       3628       0.5014          5808
  163        5325       3743       0.5234          6045
         x   5083       3628       0.5011          5807
  173        5324       3742       0.5235          6044
          x  5082       3627       0.5012          5806
  183        5322       3742       0.5229          6043
x            5080       3627       0.5006          5805
  193        5320       3742       0.5224          6041
 x           5079       3627       0.5003          5805
  203        5318       3742       0.5219          6040
  x          5078       3627       0.5001          5803
  213        5317       3742       0.5216          6039
   x         5077       3627       0.4998          5802
  223        5315       3742       0.5210          6038
    x        5075       3627       0.4992          5801
  233        5313       3740       0.5213          6035
     x       5073       3627       0.4986          5800
  243        5311       3740       0.5207          6034
      x      5073       3625       0.4994          5799
  253        5311       3737       0.5219          6032
       x     5073       3625       0.4994          5799
  263        5308       3737       0.5211          6030
        x    5071       3625       0.4989          5797
  273        5306       3737       0.5205          6029
         x   5068       3625       0.4980          5795
  298        5300       3737       0.5189          6025
x            5063       3623       0.4977          5791
  315        5297       3736       0.5184          6022
 x           5060       3623       0.4965          5789
  324        5296       3736       0.5182          6021
  x          5059       3622       0.4966          5787
  334        5295       3735       0.5183          6020
   x         5058       3621       0.4967          5786
  344        5293       3735       0.5177          6019
    x        5055       3621       0.4963          5783
  354        5290       3734       0.5173          6016
     x       5053       3620       0.4957          5782
  364        5288       3733       0.5171          6014
      x      5051       3618       0.4959          5779
  375        5285       3731       0.5171          6011
       x     5049       3618       0.4953          5778
  385        5279       3731       0.5154          6007
        x    5047       3614       0.4964          5774
  395        5276       3730       0.5150          6004
         x   5043       3613       0.4956          5771
  405        5273       3730       0.5142          6002
x            5040       3611       0.4955          5767
  415        5272       3728       0.5147          6000
 x           5038       3610       0.4954          5765
  426        5270       3726       0.5149          5997
  x          5032       3607       0.4948          5759
