                                                       Frequency (Me/sec)                                  f/fo
                            T(K)                                                                                                    q/qo
                                             A-Phase      B-Phase    Y-Phase       0/   Phase    fJ Phase     'Y   Phase

                                0            34.829           34.816        35.255          0.9964       0.9964       0.9964       0.9964
                               20            34.824           34.811        35.250          0.9963       0.9963       0.9963       0.9963
                               80            34.775           34.760        35.202          0.9949       0.9948       0.9949       0.9948
                              100            34.745           34.728        35.171          0.9940       0.9939       0.9940       0.9940
                              120            34.713           34.695        35.136          0.9931       0.9929       0.9930       0.9931
                              140            34.677           34.659        35.100          0.9921       0.9920       0.9920       0.9920
                              160            34.640           34.620        35.057          0.9910       0.9908       0.9908       0.9909
                              180            34.597           34.577        35.018          0.9898       0.9896       0.9897       0.9898
                              200            34.550           34.528        34.974          0.9884       0.9882       0.9885       0.9886
                              220            34.502           34.478        34.927          0.9870       0.9867       0.9871       0.9872
                              240            34.447           34.425        34.879          0.9855       0.9852       0.9858       0.9858
                              260            34.392           34.368        34.823          0.9839       0.9836       0.9842       0.9844
                              280            34.327           34.303        34.758          0.9820       0.9817       0.9824       0.9828
                              300                             34.235                                     0.9798                    0.9812

