Distances between atoms, up to dmax=  3.00 A   (* = with lattice translation)
  #1  #2   bond       d
  15  17   H-C     0.96840 A  
  43  45   H-C     0.96840 A  
  12  14   C-H     0.96840 A  
  29  31   H-C     0.96840 A  
  12  13   C-H     0.96950 A  
  44  45   H-C     0.96950 A  
  16  17   H-C     0.96950 A  
  30  31   H-C     0.96950 A  
  33  35   H-C     0.96972 A  
  19  21   H-C     0.96972 A  
  47  49   H-C     0.96972 A  
   8  10   C-H     0.96972 A  
   8   9   C-H     0.97018 A  
  20  21   H-C     0.97018 A  
  34  35   H-C     0.97018 A  
  48  49   H-C     0.97018 A  
   3   7   N-O     1.21121 A  
  22  26   O-N     1.21121 A  
  36  40   O-N     1.21121 A  
  50  54   O-N     1.21121 A  
  37  38   N-O     1.22528 A  
  23  24   N-O     1.22528 A  
  51  52   N-O     1.22528 A  
   5   6   O-N     1.22528 A  
   2   3   O-N     1.23224 A  
  26  27   N-O     1.23224 A  
  40  41   N-O     1.23224 A  
  54  55   N-O     1.23224 A  
  32  37   O-N     1.23314 A  
   6  11   N-O     1.23314 A  
  18  23   O-N     1.23314 A  
  46  51   O-N     1.23314 A  
  51  53   N-N     1.35972 A  
  23  25   N-N     1.35972 A  
   4   6   N-N     1.35972 A  
  37  39   N-N     1.35972 A  
  40  42   N-N     1.36947 A  
  54  56   N-N     1.36947 A  
  26  28   N-N     1.36947 A  
   1   3   N-N     1.36947 A  
  49  56   C-N     1.43267 A  
  21  28   C-N     1.43267 A  
  35  42   C-N     1.43267 A  
   1   8   N-C     1.43267 A  
  12  39   C-N     1.45726 A  
  17  53   C-N     1.45726 A  
  25  45   N-C     1.45726 A  
   4  31   N-C     1.45726 A  
  31  42   C-N     1.45743 A  
   1  12   N-C     1.45743 A  
  17  28   C-N     1.45743 A  
  45  56   C-N     1.45743 A  
   4   8   N-C     1.47296 A  
  21  25   C-N     1.47296 A  
  35  39   C-N     1.47296 A  
  49  53   C-N     1.47296 A  
  43  44   H-H     1.57100 A  
  29  30   H-H     1.57100 A  
  13  14   H-H     1.57100 A  
  15  16   H-H     1.57100 A  
  33  34   H-H     1.57133 A  
  19  20   H-H     1.57133 A  
   9  10   H-H     1.57133 A  
  47  48   H-H     1.57133 A  
  16  53   H-N     1.96525 A  
  25  44   N-H     1.96525 A  
