Distances between atoms, up to dmax=  3.00 A   (* = with lattice translation)
  #1  #2   bond       d
  13  45   H-N     1.01275 A  
  32  54   H-N     1.01275 A  
  37  57   H-N     1.01275 A  
  44  60   H-N     1.01275 A  
  15  46   H-N     1.01303 A  
  16  47   H-N     1.01303 A  
  35  56   H-N     1.01303 A  
  36  55   H-N     1.01303 A  
  31  52   H-N     1.02313 A *
  39  49   H-N     1.02313 A *
  30  48   H-N     1.02313 A  
  38  51   H-N     1.02313 A *
  20  58   H-N     1.02316 A *
  17  59   H-N     1.02316 A *
  18  50   H-N     1.02316 A *
  19  53   H-N     1.02316 A *
  29  50   H-N     1.02722 A *
  26  53   H-N     1.02722 A *
  27  58   H-N     1.02722 A *
  28  59   H-N     1.02722 A *
  21  52   H-N     1.02743 A *
  22  48   H-N     1.02743 A  
  41  49   H-N     1.02743 A *
  42  51   H-N     1.02743 A *
  24  46   H-N     1.03207 A  
  25  47   H-N     1.03207 A  
  33  56   H-N     1.03207 A  
  34  55   H-N     1.03207 A  
  14  45   H-N     1.03236 A  
  40  57   H-N     1.03236 A  
  23  54   H-N     1.03236 A  
  43  60   H-N     1.03236 A  
   1  48   C-N     1.33036 A  
   2  49   C-N     1.33036 A  
   4  51   C-N     1.33036 A  
   5  52   C-N     1.33036 A  
   3  50   C-N     1.33037 A  
   6  53   C-N     1.33037 A  
   7  58   C-N     1.33037 A  
   8  59   C-N     1.33037 A  
   1  46   C-N     1.33920 A  
   2  47   C-N     1.33920 A  
   4  56   C-N     1.33920 A  
   5  55   C-N     1.33920 A  
   6  54   C-N     1.33923 A  
   8  60   C-N     1.33923 A  
   3  45   C-N     1.33923 A  
   7  57   C-N     1.33923 A  
   1  63   C-S     1.72753 A  
   2  64   C-S     1.72753 A  
   4  66   C-S     1.72753 A  
   5  67   C-S     1.72753 A  
   7  69   C-S     1.72767 A  
   8  70   C-S     1.72767 A  
   3  65   C-S     1.72767 A  
   6  68   C-S     1.72767 A  
  15  24   H-H     1.74919 A  
  16  25   H-H     1.74919 A  
  33  35   H-H     1.74919 A  
  34  36   H-H     1.74919 A  
  13  14   H-H     1.74983 A  
  37  40   H-H     1.74983 A  
  23  32   H-H     1.74983 A  
  43  44   H-H     1.74983 A  
  17  28   H-H     1.77067 A  
  18  29   H-H     1.77067 A  
  19  26   H-H     1.77067 A  
  20  27   H-H     1.77067 A  
  21  31   H-H     1.77148 A  
  22  30   H-H     1.77148 A  
  39  41   H-H     1.77148 A  
  38  42   H-H     1.77148 A  
   2  41   C-H     2.02934 A *
   4  42   C-H     2.02934 A *
   1  22   C-H     2.02934 A  
   5  21   C-H     2.02934 A *
   7  27   C-H     2.02980 A *
   8  28   C-H     2.02980 A *
   3  29   C-H     2.02980 A *
   6  26   C-H     2.02980 A *
   3  13   C-H     2.03455 A  
   6  32   C-H     2.03455 A  
   7  37   C-H     2.03455 A  
   8  44   C-H     2.03455 A  
   1  15   C-H     2.03522 A  
   2  16   C-H     2.03522 A  
   4  35   C-H     2.03522 A  
   5  36   C-H     2.03522 A  
   1  24   C-H     2.06099 A  
   2  25   C-H     2.06099 A  
   4  33   C-H     2.06099 A  
   5  34   C-H     2.06099 A  
   3  14   C-H     2.06112 A  
   6  23   C-H     2.06112 A  
   7  40   C-H     2.06112 A  
   8  43   C-H     2.06112 A  
   2  39   C-H     2.06624 A *
   5  31   C-H     2.06624 A *
   1  30   C-H     2.06624 A  
   4  38   C-H     2.06624 A *
   3  18   C-H     2.06643 A *
   6  19   C-H     2.06643 A *
   7  20   C-H     2.06643 A *
   8  17   C-H     2.06643 A *
   9  14  Cl-H     2.17658 A *
   9  23  Cl-H     2.17658 A *
   9  40  Cl-H     2.17658 A *
   9  43  Cl-H     2.17658 A *
  11  33  Cl-H     2.17703 A *
  11  24  Cl-H     2.17703 A  
  11  25  Cl-H     2.17703 A *
  11  34  Cl-H     2.17703 A *
  10  41  Cl-H     2.19661 A *
  10  21  Cl-H     2.19661 A *
  10  22  Cl-H     2.19661 A  
  10  42  Cl-H     2.19661 A *
  12  26  Cl-H     2.19687 A *
  12  27  Cl-H     2.19687 A *
  12  28  Cl-H     2.19687 A *
  12  29  Cl-H     2.19687 A *
  61  63  Ni-S     2.23554 A  
  61  64  Ni-S     2.23554 A  
  61  66  Ni-S     2.23554 A  
  61  67  Ni-S     2.23554 A  
  62  65  Ni-S     2.23649 A  
  62  68  Ni-S     2.23649 A  
  62  69  Ni-S     2.23649 A  
  62  70  Ni-S     2.23649 A  
  46  48   N-N     2.30898 A  
