Distances between atoms, up to dmax=  3.00 A   (* = with lattice translation)
  #1  #2   bond       d
  45  48   H-N     1.03903 A  
  42  48   H-N     1.03903 A  
   3  11   N-H     1.03903 A  
   3   6   N-H     1.03903 A  
  21  24   H-N     1.03906 A  
  18  24   H-N     1.03906 A  
  51  57   H-N     1.03906 A  
  54  57   H-N     1.03906 A  
  74  82   H-N     1.03914 A  
  79  82   H-N     1.03914 A  
  34  40   H-N     1.03914 A  
  37  40   H-N     1.03914 A  
  61  67   H-N     1.03914 A  
  64  67   H-N     1.03914 A  
  26  32   H-N     1.03914 A  
  29  32   H-N     1.03914 A  
  38  40   H-N     1.06771 A  
  80  82   H-N     1.06771 A  
  30  32   H-N     1.06776 A  
  65  67   H-N     1.06776 A  
  22  24   H-N     1.06783 A  
  55  57   H-N     1.06783 A  
  46  48   H-N     1.06787 A  
   3   5   N-H     1.06787 A  
   4  12   C-H     1.09517 A  
   4   8   C-H     1.09517 A  
  43  47   H-C     1.09517 A  
  41  47   H-C     1.09517 A  
  17  23   H-C     1.09522 A  
  52  56   H-C     1.09522 A  
  19  23   H-C     1.09522 A  
  50  56   H-C     1.09522 A  
  33  39   H-C     1.09525 A  
  35  39   H-C     1.09525 A  
  73  81   H-C     1.09525 A  
  77  81   H-C     1.09525 A  
  25  31   H-C     1.09526 A  
  27  31   H-C     1.09526 A  
  60  66   H-C     1.09526 A  
  62  66   H-C     1.09526 A  
  63  66   H-C     1.10472 A  
  28  31   H-C     1.10472 A  
  36  39   H-C     1.10473 A  
  78  81   H-C     1.10473 A  
  53  56   H-C     1.10477 A  
  20  23   H-C     1.10477 A  
  44  47   H-C     1.10485 A  
   4   7   C-H     1.10485 A  
  31  32   C-N     1.48910 A  
  66  67   C-N     1.48910 A  
  47  48   C-N     1.48914 A  
   3   4   N-C     1.48914 A  
  39  40   C-N     1.48915 A  
  81  82   C-N     1.48915 A  
  56  57   C-N     1.48917 A  
  23  24   C-N     1.48917 A  
  18  21   H-H     1.66404 A  
  51  54   H-H     1.66404 A  
   6  11   H-H     1.66404 A  
  42  45   H-H     1.66404 A  
  34  37   H-H     1.66412 A  
  74  79   H-H     1.66412 A  
  26  29   H-H     1.66412 A  
  61  64   H-H     1.66412 A  
  21  22   H-H     1.70353 A  
  51  55   H-H     1.70353 A  
  18  22   H-H     1.70353 A  
  54  55   H-H     1.70353 A  
  26  30   H-H     1.70353 A  
  29  30   H-H     1.70353 A  
  61  65   H-H     1.70353 A  
  64  65   H-H     1.70353 A  
  45  46   H-H     1.70354 A  
  42  46   H-H     1.70354 A  
   5  11   H-H     1.70354 A  
   5   6   H-H     1.70354 A  
  34  38   H-H     1.70357 A  
  37  38   H-H     1.70357 A  
  74  80   H-H     1.70357 A  
  79  80   H-H     1.70357 A  
   8  12   H-H     1.79891 A  
  41  43   H-H     1.79891 A  
  33  35   H-H     1.79895 A  
  73  77   H-H     1.79895 A  
  17  19   H-H     1.79895 A  
  50  52   H-H     1.79895 A  
  25  27   H-H     1.79900 A  
  60  62   H-H     1.79900 A  
  60  63   H-H     1.80334 A  
  62  63   H-H     1.80334 A  
  25  28   H-H     1.80334 A  
  27  28   H-H     1.80334 A  
  52  53   H-H     1.80339 A  
  50  53   H-H     1.80339 A  
  17  20   H-H     1.80339 A  
  19  20   H-H     1.80339 A  
  43  44   H-H     1.80340 A  
  41  44   H-H     1.80340 A  
   7  12   H-H     1.80340 A  
   7   8   H-H     1.80340 A  
  33  36   H-H     1.80341 A  
  35  36   H-H     1.80341 A  
  73  78   H-H     1.80341 A  
  77  78   H-H     1.80341 A  
   2  65  Cl-H     2.01344 A  
  16  30  Cl-H     2.01344 A  
   5  68   H-Cl    2.01370 A *
  46  59   H-Cl    2.01370 A *
  22  69   H-Cl    2.01371 A  
  55  83   H-Cl    2.01371 A  
  58  80  Cl-H     2.01401 A *
  38  49   H-Cl    2.01401 A *
  34  39   H-C     2.08471 A  
  37  39   H-C     2.08471 A  
  74  81   H-C     2.08471 A  
  79  81   H-C     2.08471 A  
  42  47   H-C     2.08474 A  
  45  47   H-C     2.08474 A  
   4  11   C-H     2.08474 A  
   4   6   C-H     2.08474 A  
  26  31   H-C     2.08475 A  
  29  31   H-C     2.08475 A  
  61  66   H-C     2.08475 A  
  64  66   H-C     2.08475 A  
  18  23   H-C     2.08476 A  
  21  23   H-C     2.08476 A  
  51  56   H-C     2.08476 A  
  54  56   H-C     2.08476 A  
   3   7   N-H     2.11360 A  
  44  48   H-N     2.11360 A  
  53  57   H-N     2.11364 A  
  20  24   H-N     2.11364 A  
  78  82   H-N     2.11364 A  
  36  40   H-N     2.11364 A  
  28  32   H-N     2.11366 A  
  63  67   H-N     2.11366 A  
   3   8   N-H     2.11577 A  
   3  12   N-H     2.11577 A  
  43  48   H-N     2.11577 A  
  41  48   H-N     2.11577 A  
  25  32   H-N     2.11578 A  
  27  32   H-N     2.11578 A  
  60  67   H-N     2.11578 A  
  62  67   H-N     2.11578 A  
  33  40   H-N     2.11579 A  
  35  40   H-N     2.11579 A  
  73  82   H-N     2.11579 A  
  77  82   H-N     2.11579 A  
  52  57   H-N     2.11581 A  
  50  57   H-N     2.11581 A  
  17  24   H-N     2.11581 A  
  19  24   H-N     2.11581 A  
  46  47   H-C     2.16442 A  
   4   5   C-H     2.16442 A  
  80  81   H-C     2.16445 A  
  38  39   H-C     2.16445 A  
  30  31   H-C     2.16447 A  
  65  66   H-C     2.16447 A  
  22  23   H-C     2.16447 A  
  55  56   H-C     2.16447 A  
  69  76  Cl-Mn    2.34710 A  
  76  83  Mn-Cl    2.34710 A *
  10  59  Mn-Cl    2.34715 A *
  10  68  Mn-Cl    2.34715 A  
   2   9  Cl-Mn    2.34720 A *
   9  16  Mn-Cl    2.34720 A *
  49  75  Cl-Mn    2.34722 A  
  58  75  Cl-Mn    2.34722 A  
  37  70   H-Cl    2.36130 A *
  34  71   H-Cl    2.36130 A  
  72  79  Cl-H     2.36130 A  
  74  84   H-Cl    2.36130 A *
  18  70   H-Cl    2.36214 A  
  21  71   H-Cl    2.36214 A  
  51  72   H-Cl    2.36214 A  
  54  84   H-Cl    2.36214 A  
   1  11  Cl-H     2.36221 A  
   6  13   H-Cl    2.36221 A  
