Distances between atoms, up to dmax=  3.00 A   (* = with lattice translation)
  #1  #2   bond       d
  42  48   H-N     0.63338 A  
  45  48   H-N     0.63338 A  
   3   6   N-H     0.63338 A  
   3  11   N-H     0.63338 A  
  61  67   H-N     0.63338 A  
  64  67   H-N     0.63338 A  
  26  32   H-N     0.63338 A  
  29  32   H-N     0.63338 A  
  34  40   H-N     0.63338 A  
  37  40   H-N     0.63338 A  
  51  57   H-N     0.63338 A  
  54  57   H-N     0.63338 A  
  74  82   H-N     0.63338 A  
  79  82   H-N     0.63338 A  
  18  24   H-N     0.63338 A  
  21  24   H-N     0.63338 A  
  44  47   H-C     0.74563 A  
  28  31   H-C     0.74563 A  
  36  39   H-C     0.74563 A  
  78  81   H-C     0.74563 A  
  53  56   H-C     0.74563 A  
  20  23   H-C     0.74563 A  
   4   7   C-H     0.74563 A  
  63  66   H-C     0.74563 A  
   6  11   H-H     0.87950 A  
  18  21   H-H     0.87950 A  
  26  29   H-H     0.87950 A  
  34  37   H-H     0.87950 A  
  42  45   H-H     0.87950 A  
  51  54   H-H     0.87950 A  
  61  64   H-H     0.87950 A  
  74  79   H-H     0.87950 A  
  73  81   H-C     0.88047 A  
  77  81   H-C     0.88047 A  
  25  31   H-C     0.88047 A  
  27  31   H-C     0.88047 A  
  41  47   H-C     0.88047 A  
  43  47   H-C     0.88047 A  
  50  56   H-C     0.88047 A  
  52  56   H-C     0.88047 A  
   4   8   C-H     0.88047 A  
   4  12   C-H     0.88047 A  
  17  23   H-C     0.88047 A  
  19  23   H-C     0.88047 A  
  33  39   H-C     0.88047 A  
  35  39   H-C     0.88047 A  
  60  66   H-C     0.88047 A  
  62  66   H-C     0.88047 A  
  22  24   H-N     0.88129 A  
  30  32   H-N     0.88129 A  
  65  67   H-N     0.88129 A  
  55  57   H-N     0.88129 A  
   3   5   N-H     0.88129 A  
  80  82   H-N     0.88129 A  
  38  40   H-N     0.88129 A  
  46  48   H-N     0.88129 A  
   8  12   H-H     1.18228 A  
  17  19   H-H     1.18228 A  
  25  27   H-H     1.18228 A  
  33  35   H-H     1.18228 A  
  41  43   H-H     1.18228 A  
  50  52   H-H     1.18228 A  
  60  62   H-H     1.18228 A  
  73  77   H-H     1.18228 A  
  26  30   H-H     1.28607 A  
  29  30   H-H     1.28607 A  
  42  46   H-H     1.28607 A  
  45  46   H-H     1.28607 A  
  18  22   H-H     1.28607 A  
  21  22   H-H     1.28607 A  
  34  38   H-H     1.28607 A  
  37  38   H-H     1.28607 A  
  51  55   H-H     1.28607 A  
  54  55   H-H     1.28607 A  
  61  65   H-H     1.28607 A  
  64  65   H-H     1.28607 A  
   5   6   H-H     1.28607 A  
   5  11   H-H     1.28607 A  
  74  80   H-H     1.28607 A  
  79  80   H-H     1.28607 A  
  33  36   H-H     1.34657 A  
  35  36   H-H     1.34657 A  
  41  44   H-H     1.34657 A  
  43  44   H-H     1.34657 A  
   7   8   H-H     1.34657 A  
   7  12   H-H     1.34657 A  
  17  20   H-H     1.34657 A  
  19  20   H-H     1.34657 A  
  25  28   H-H     1.34657 A  
  27  28   H-H     1.34657 A  
  73  78   H-H     1.34657 A  
  77  78   H-H     1.34657 A  
  50  53   H-H     1.34657 A  
  52  53   H-H     1.34657 A  
  60  63   H-H     1.34657 A  
  62  63   H-H     1.34657 A  
  39  40   C-N     1.43955 A  
  81  82   C-N     1.43955 A  
  56  57   C-N     1.43955 A  
   3   4   N-C     1.43955 A  
  23  24   C-N     1.43955 A  
  66  67   C-N     1.43955 A  
  47  48   C-N     1.43955 A  
  31  32   C-N     1.43955 A  
   4   6   C-H     1.73494 A  
   4  11   C-H     1.73494 A  
  61  66   H-C     1.73494 A  
  64  66   H-C     1.73494 A  
  18  23   H-C     1.73494 A  
  21  23   H-C     1.73494 A  
  26  31   H-C     1.73494 A  
  29  31   H-C     1.73494 A  
  34  39   H-C     1.73494 A  
  37  39   H-C     1.73494 A  
  42  47   H-C     1.73494 A  
  45  47   H-C     1.73494 A  
  51  56   H-C     1.73494 A  
  54  56   H-C     1.73494 A  
  74  81   H-C     1.73494 A  
  79  81   H-C     1.73494 A  
  50  57   H-N     1.90934 A  
  52  57   H-N     1.90934 A  
  73  82   H-N     1.90934 A  
  77  82   H-N     1.90934 A  
  25  32   H-N     1.90934 A  
  27  32   H-N     1.90934 A  
  41  48   H-N     1.90934 A  
  43  48   H-N     1.90934 A  
  17  24   H-N     1.90934 A  
  19  24   H-N     1.90934 A  
  33  40   H-N     1.90934 A  
  35  40   H-N     1.90934 A  
   3   8   N-H     1.90934 A  
   3  12   N-H     1.90934 A  
  60  67   H-N     1.90934 A  
  62  67   H-N     1.90934 A  
  78  82   H-N     1.96588 A  
  53  57   H-N     1.96588 A  
  36  40   H-N     1.96588 A  
  44  48   H-N     1.96588 A  
  20  24   H-N     1.96588 A  
  28  32   H-N     1.96588 A  
   3   7   N-H     1.96588 A  
  63  67   H-N     1.96588 A  
   4   5   C-H     2.02471 A  
  65  66   H-C     2.02471 A  
  80  81   H-C     2.02471 A  
  22  23   H-C     2.02471 A  
  38  39   H-C     2.02471 A  
  55  56   H-C     2.02471 A  
  30  31   H-C     2.02471 A  
  46  47   H-C     2.02471 A  
  42  44   H-H     2.11076 A  
  44  45   H-H     2.11076 A  
  26  28   H-H     2.11076 A  
  28  29   H-H     2.11076 A  
  51  53   H-H     2.11076 A  
  53  54   H-H     2.11076 A  
  74  78   H-H     2.11076 A  
  78  79   H-H     2.11076 A  
   6   7   H-H     2.11076 A  
   7  11   H-H     2.11076 A  
  61  63   H-H     2.11076 A  
  63  64   H-H     2.11076 A  
  18  20   H-H     2.11076 A  
  20  21   H-H     2.11076 A  
  34  36   H-H     2.11076 A  
  36  37   H-H     2.11076 A  
  25  29   H-H     2.15829 A  
  26  27   H-H     2.15829 A  
  41  45   H-H     2.15829 A  
  42  43   H-H     2.15829 A  
  50  54   H-H     2.15829 A  
  51  52   H-H     2.15829 A  
  73  79   H-H     2.15829 A  
  74  77   H-H     2.15829 A  
   6  12   H-H     2.15829 A  
   8  11   H-H     2.15829 A  
  60  64   H-H     2.15829 A  
  61  62   H-H     2.15829 A  
  17  21   H-H     2.15829 A  
  18  19   H-H     2.15829 A  
  33  37   H-H     2.15829 A  
  34  35   H-H     2.15829 A  
  50  55   H-H     2.23775 A  
  52  55   H-H     2.23775 A  
  73  80   H-H     2.23775 A  
  77  80   H-H     2.23775 A  
  25  30   H-H     2.23775 A  
  27  30   H-H     2.23775 A  
  41  46   H-H     2.23775 A  
  43  46   H-H     2.23775 A  
   5   8   H-H     2.23775 A  
   5  12   H-H     2.23775 A  
  17  22   H-H     2.23775 A  
  19  22   H-H     2.23775 A  
  33  38   H-H     2.23775 A  
  35  38   H-H     2.23775 A  
  60  65   H-H     2.23775 A  
  62  65   H-H     2.23775 A  
  25  26   H-H     2.38705 A  
  27  29   H-H     2.38705 A  
  41  42   H-H     2.38705 A  
  43  45   H-H     2.38705 A  
  50  51   H-H     2.38705 A  
  52  54   H-H     2.38705 A  
  73  74   H-H     2.38705 A  
  77  79   H-H     2.38705 A  
   6   8   H-H     2.38705 A  
  11  12   H-H     2.38705 A  
  60  61   H-H     2.38705 A  
  62  64   H-H     2.38705 A  
  17  18   H-H     2.38705 A  
  19  21   H-H     2.38705 A  
  33  34   H-H     2.38705 A  
  35  37   H-H     2.38705 A  
   5  68   H-Cl    2.45416 A *
  58  80  Cl-H     2.45416 A *
   2  65  Cl-H     2.45416 A  
  38  49   H-Cl    2.45416 A *
  46  59   H-Cl    2.45416 A *
  55  83   H-Cl    2.45416 A  
  16  30  Cl-H     2.45416 A  
  22  69   H-Cl    2.45416 A  
   9  16  Mn-Cl    2.48656 A *
  10  59  Mn-Cl    2.48656 A *
  49  75  Cl-Mn    2.48656 A  
  69  76  Cl-Mn    2.48656 A  
   2   9  Cl-Mn    2.48656 A *
  10  68  Mn-Cl    2.48656 A  
  58  75  Cl-Mn    2.48656 A  
  76  83  Mn-Cl    2.48656 A *
   9  14  Mn-Cl    2.56769 A *
   9  15  Mn-Cl    2.56769 A *
  70  76  Cl-Mn    2.56769 A *
  71  76  Cl-Mn    2.56769 A *
  10  14  Mn-Cl    2.56769 A *
  10  15  Mn-Cl    2.56769 A *
  72  75  Cl-Mn    2.56769 A  
  72  76  Cl-Mn    2.56769 A  
  75  84  Mn-Cl    2.56769 A *
  76  84  Mn-Cl    2.56769 A  
   1   9  Cl-Mn    2.56769 A  
   1  10  Cl-Mn    2.56769 A  
   9  13  Mn-Cl    2.56769 A *
  10  13  Mn-Cl    2.56769 A  
  70  75  Cl-Mn    2.56769 A *
  71  75  Cl-Mn    2.56769 A  
  78  80   H-H     2.68322 A  
  36  38   H-H     2.68322 A  
  44  46   H-H     2.68322 A  
  53  55   H-H     2.68322 A  
   5   7   H-H     2.68322 A  
  20  22   H-H     2.68322 A  
  28  30   H-H     2.68322 A  
  63  65   H-H     2.68322 A  
  37  70   H-Cl    2.73271 A *
  18  70   H-Cl    2.73271 A  
  21  71   H-Cl    2.73271 A  
  34  71   H-Cl    2.73271 A  
   1  11  Cl-H     2.73271 A  
   6  13   H-Cl    2.73271 A  
  13  61  Cl-H     2.73271 A *
   1  64  Cl-H     2.73271 A  
  74  84   H-Cl    2.73271 A *
  51  72   H-Cl    2.73271 A  
  54  84   H-Cl    2.73271 A  
  72  79  Cl-H     2.73271 A  
  14  29  Cl-H     2.73271 A *
  14  42  Cl-H     2.73271 A  
  15  45  Cl-H     2.73271 A  
  15  26  Cl-H     2.73271 A  
  12  33   H-H     2.94491 A *
  19  62   H-H     2.94491 A *
  17  60   H-H     2.94491 A  
   8  35   H-H     2.94491 A *
  25  50   H-H     2.94491 A *
  27  52   H-H     2.94491 A  
  43  77   H-H     2.94491 A *
  41  73   H-H     2.94491 A *
   5  14   H-Cl    2.97925 A *
   5  15   H-Cl    2.97925 A *
  14  65  Cl-H     2.97925 A *
  15  65  Cl-H     2.97925 A *
   1  46  Cl-H     2.97925 A *
  13  46  Cl-H     2.97925 A *
  38  72   H-Cl    2.97925 A *
  38  84   H-Cl    2.97925 A *
   1  30  Cl-H     2.97925 A *
  13  30  Cl-H     2.97925 A *
  22  72   H-Cl    2.97925 A  
  22  84   H-Cl    2.97925 A  
  70  80  Cl-H     2.97925 A *
  71  80  Cl-H     2.97925 A *
  55  70   H-Cl    2.97925 A  
  55  71   H-Cl    2.97925 A  

Nearest neighbors for each atom (up to 4)

 atom   1 species Cl : neighbors at    2.568   2.568   2.733   2.733 A
         d(center): 2.568 A  angles  :   171.1    89.4    96.4    96.4    89.4    99.8
 atom   2 species Cl : neighbors at    2.454   2.487   3.242   3.242 A
         d(center): 7.445 A  angles  :    85.1    96.7    96.7    80.0    80.0   154.9
 atom   3 species N  : neighbors at    0.633   0.633   0.881   1.440 A
         d(center): 4.248 A  angles  :    87.9   115.2   107.1   115.2   107.1   119.5
 atom   4 species C  : neighbors at    0.746   0.880   0.880   1.440 A
         d(center): 5.127 A  angles  :   111.5   111.5   125.2    84.3   108.4   108.4
 atom   5 species H  : neighbors at    0.881   1.286   1.286   2.025 A
         d(center): 4.244 A  angles  :    26.5    26.5    38.2    40.0    58.2    58.2
 atom   6 species H  : neighbors at    0.633   0.879   1.286   1.735 A
         d(center): 4.500 A  angles  :    46.0    38.3    52.5    70.0    75.3    82.7
 atom   7 species H  : neighbors at    0.746   1.347   1.347   1.966 A
         d(center): 5.393 A  angles  :    37.5    37.5    36.8    52.1    67.4    67.4
 atom   8 species H  : neighbors at    0.880   1.182   1.347   1.909 A
         d(center): 5.059 A  angles  :    47.8    31.0    45.7    64.0    72.0    71.9
 atom   9 species Mn : neighbors at    2.487   2.487   2.568   2.568 A
         d(center): 0.000 A  angles  :   180.0    89.7    89.7    90.3    90.3    89.2
 atom  10 species Mn : neighbors at    2.487   2.487   2.568   2.568 A
         d(center): 5.120 A  angles  :   180.0    89.7    89.7    90.3    90.3    89.2
 atom  11 species H  : neighbors at    0.633   0.879   1.286   1.735 A
         d(center): 3.730 A  angles  :    46.0    38.3    52.5    70.0    75.3    82.7
 atom  12 species H  : neighbors at    0.880   1.182   1.347   1.909 A
         d(center): 5.841 A  angles  :    47.8    31.0    45.7    64.0    72.0    71.9
 atom  13 species Cl : neighbors at    2.568   2.568   2.733   2.733 A
         d(center): 5.708 A  angles  :   171.1    89.4    96.4    96.4    89.4    99.8
 atom  14 species Cl : neighbors at    2.568   2.568   2.733   2.733 A
         d(center):20.681 A  angles  :   171.1    96.4    89.4    89.4    96.4    99.8
 atom  15 species Cl : neighbors at    2.568   2.568   2.733   2.733 A
         d(center):20.043 A  angles  :   171.1    89.4    96.4    96.4    89.4    99.8
 atom  16 species Cl : neighbors at    2.454   2.487   3.242   3.242 A
         d(center):16.930 A  angles  :    85.1    96.7    96.7    80.0    80.0   154.9
 atom  17 species H  : neighbors at    0.880   1.182   1.347   1.909 A
         d(center): 7.235 A  angles  :    47.8    31.0    45.7    64.0    72.0    71.9
 atom  18 species H  : neighbors at    0.633   0.879   1.286   1.735 A
         d(center): 9.553 A  angles  :    46.0    38.3    52.5    70.0    75.3    82.7
 atom  19 species H  : neighbors at    0.880   1.182   1.347   1.909 A
         d(center): 7.802 A  angles  :    47.8    31.0    45.7    64.0    72.0    71.9
 atom  20 species H  : neighbors at    0.746   1.347   1.347   1.966 A
         d(center): 8.220 A  angles  :    37.5    37.5    36.8    52.1    67.4    67.4
 atom  21 species H  : neighbors at    0.633   0.879   1.286   1.735 A
         d(center): 9.215 A  angles  :    46.0    38.3    52.5    70.0    75.3    82.7
 atom  22 species H  : neighbors at    0.881   1.286   1.286   2.025 A
         d(center): 8.894 A  angles  :    26.5    26.5    38.2    40.0    58.2    58.2
 atom  23 species C  : neighbors at    0.746   0.880   0.880   1.440 A
         d(center): 8.048 A  angles  :   111.5   111.5   125.2    84.3   108.4   108.4
 atom  24 species N  : neighbors at    0.633   0.633   0.881   1.440 A
         d(center): 8.996 A  angles  :    87.9   115.2   107.1   115.2   107.1   119.5
 atom  25 species H  : neighbors at    0.880   1.182   1.347   1.909 A
         d(center):15.725 A  angles  :    47.8    31.0    45.7    64.0    72.0    71.9
 atom  26 species H  : neighbors at    0.633   0.879   1.286   1.735 A
         d(center):17.872 A  angles  :    46.0    38.3    52.5    70.0    75.3    82.7
 atom  27 species H  : neighbors at    0.880   1.182   1.347   1.909 A
         d(center):15.725 A  angles  :    47.8    31.0    45.7    64.0    72.0    71.9
 atom  28 species H  : neighbors at    0.746   1.347   1.347   1.966 A
         d(center):16.163 A  angles  :    37.5    37.5    36.8    52.1    67.4    67.4
 atom  29 species H  : neighbors at    0.633   0.879   1.286   1.735 A
         d(center):17.872 A  angles  :    46.0    38.3    52.5    70.0    75.3    82.7
 atom  30 species H  : neighbors at    0.881   1.286   1.286   2.025 A
         d(center):17.587 A  angles  :    26.5    26.5    38.2    40.0    58.2    58.2
 atom  31 species C  : neighbors at    0.746   0.880   0.880   1.440 A
         d(center):16.234 A  angles  :   111.5   111.5   125.2    84.3   108.4   108.4
 atom  32 species N  : neighbors at    0.633   0.633   0.881   1.440 A
         d(center):17.513 A  angles  :    87.9   115.2   107.1   115.2   107.1   119.5
 atom  33 species H  : neighbors at    0.880   1.182   1.347   1.909 A
         d(center): 9.433 A  angles  :    47.8    31.0    45.7    64.0    72.0    71.9
 atom  34 species H  : neighbors at    0.633   0.879   1.286   1.735 A
         d(center):10.473 A  angles  :    46.0    38.3    52.5    70.0    75.3    82.7
 atom  35 species H  : neighbors at    0.880   1.182   1.347   1.909 A
         d(center): 9.433 A  angles  :    47.8    31.0    45.7    64.0    72.0    71.9
 atom  36 species H  : neighbors at    0.746   1.347   1.347   1.966 A
         d(center): 8.589 A  angles  :    37.5    37.5    36.8    52.1    67.4    67.4
 atom  37 species H  : neighbors at    0.633   0.879   1.286   1.735 A
         d(center):10.473 A  angles  :    46.0    38.3    52.5    70.0    75.3    82.7
 atom  38 species H  : neighbors at    0.881   1.286   1.286   2.025 A
         d(center):11.271 A  angles  :    26.5    26.5    38.2    40.0    58.2    58.2
 atom  39 species C  : neighbors at    0.746   0.880   0.880   1.440 A
         d(center): 9.285 A  angles  :   111.5   111.5   125.2    84.3   108.4   108.4
 atom  40 species N  : neighbors at    0.633   0.633   0.881   1.440 A
         d(center):10.501 A  angles  :    87.9   115.2   107.1   115.2   107.1   119.5
 atom  41 species H  : neighbors at    0.880   1.182   1.347   1.909 A
         d(center):17.360 A  angles  :    47.8    31.0    45.7    64.0    72.0    71.9
 atom  42 species H  : neighbors at    0.633   0.879   1.286   1.735 A
         d(center):19.239 A  angles  :    46.0    38.3    52.5    70.0    75.3    82.7
 atom  43 species H  : neighbors at    0.880   1.182   1.347   1.909 A
         d(center):17.604 A  angles  :    47.8    31.0    45.7    64.0    72.0    71.9
 atom  44 species H  : neighbors at    0.746   1.347   1.347   1.966 A
         d(center):17.130 A  angles  :    37.5    37.5    36.8    52.1    67.4    67.4
 atom  45 species H  : neighbors at    0.633   0.879   1.286   1.735 A
         d(center):19.074 A  angles  :    46.0    38.3    52.5    70.0    75.3    82.7
 atom  46 species H  : neighbors at    0.881   1.286   1.286   2.025 A
         d(center):19.576 A  angles  :    26.5    26.5    38.2    40.0    58.2    58.2
 atom  47 species C  : neighbors at    0.746   0.880   0.880   1.440 A
         d(center):17.634 A  angles  :   111.5   111.5   125.2    84.3   108.4   108.4
