Distances between atoms, up to dmax=  3.00 A   (* = with lattice translation)
  #1  #2   bond       d
  13  45   H-N     0.57970 A  
  37  57   H-N     0.57970 A  
  32  54   H-N     0.57970 A  
  44  60   H-N     0.57970 A  
  15  46   H-N     0.57970 A  
  16  47   H-N     0.57970 A  
  35  56   H-N     0.57970 A  
  36  55   H-N     0.57970 A  
  21  52   H-N     0.67541 A *
  22  48   H-N     0.67541 A  
  26  53   H-N     0.67541 A *
  29  50   H-N     0.67541 A *
  41  49   H-N     0.67541 A *
  42  51   H-N     0.67541 A *
  27  58   H-N     0.67541 A *
  28  59   H-N     0.67541 A *
   1  48   C-N     1.32309 A  
   2  49   C-N     1.32309 A  
   3  50   C-N     1.32309 A  
   4  51   C-N     1.32309 A  
   5  52   C-N     1.32309 A  
   6  53   C-N     1.32309 A  
   7  58   C-N     1.32309 A  
   8  59   C-N     1.32309 A  
   6  54   C-N     1.33857 A  
   8  60   C-N     1.33857 A  
   1  46   C-N     1.33857 A  
   2  47   C-N     1.33857 A  
   3  45   C-N     1.33857 A  
   4  56   C-N     1.33857 A  
   5  55   C-N     1.33857 A  
   7  57   C-N     1.33857 A  
  13  14   H-H     1.36608 A  
  37  40   H-H     1.36608 A  
  15  24   H-H     1.36608 A  
  16  25   H-H     1.36608 A  
  33  35   H-H     1.36608 A  
  34  36   H-H     1.36608 A  
  23  32   H-H     1.36608 A  
  43  44   H-H     1.36608 A  
  17  59   H-N     1.37701 A *
  19  53   H-N     1.37701 A *
  30  48   H-N     1.37701 A  
  38  51   H-N     1.37701 A *
  18  50   H-N     1.37701 A *
  31  52   H-N     1.37701 A *
  39  49   H-N     1.37701 A *
  20  58   H-N     1.37701 A *
  24  46   H-N     1.41775 A  
  25  47   H-N     1.41775 A  
  33  56   H-N     1.41775 A  
  34  55   H-N     1.41775 A  
  14  45   H-N     1.41775 A  
  23  54   H-N     1.41775 A  
  40  57   H-N     1.41775 A  
  43  60   H-N     1.41775 A  
  21  31   H-H     1.44346 A  
  39  41   H-H     1.44346 A  
  17  28   H-H     1.44346 A  
  18  29   H-H     1.44346 A  
  19  26   H-H     1.44346 A  
  20  27   H-H     1.44346 A  
  22  30   H-H     1.44346 A  
  38  42   H-H     1.44346 A  
   3  13   C-H     1.70575 A  
   6  32   C-H     1.70575 A  
   7  37   C-H     1.70575 A  
   8  44   C-H     1.70575 A  
   1  15   C-H     1.70575 A  
   2  16   C-H     1.70575 A  
   4  35   C-H     1.70575 A  
   5  36   C-H     1.70575 A  
   3  65   C-S     1.73119 A  
   6  68   C-S     1.73119 A  
   7  69   C-S     1.73119 A  
   8  70   C-S     1.73119 A  
   1  63   C-S     1.73119 A  
   2  64   C-S     1.73119 A  
   4  66   C-S     1.73119 A  
   5  67   C-S     1.73119 A  
   4  42   C-H     1.96139 A *
   2  41   C-H     1.96139 A *
   7  27   C-H     1.96139 A *
   8  28   C-H     1.96139 A *
   1  22   C-H     1.96139 A  
   3  29   C-H     1.96139 A *
   5  21   C-H     1.96139 A *
   6  26   C-H     1.96139 A *
   1  30   C-H     2.27283 A  
   2  39   C-H     2.27283 A *
   4  38   C-H     2.27283 A *
   5  31   C-H     2.27283 A *
   6  19   C-H     2.27283 A *
   8  17   C-H     2.27283 A *
   3  18   C-H     2.27283 A *
   7  20   C-H     2.27283 A *
  24  26   H-H     2.28561 A  
  25  27   H-H     2.28561 A  
  28  33   H-H     2.28561 A  
  29  34   H-H     2.28561 A  
  40  41   H-H     2.28561 A  
  42  43   H-H     2.28561 A  
  14  21   H-H     2.28561 A  
  22  23   H-H     2.28561 A  
  45  50   N-N     2.31444 A  
  53  54   N-N     2.31444 A  
  57  58   N-N     2.31444 A  
  59  60   N-N     2.31444 A  
  46  48   N-N     2.31444 A  
  47  49   N-N     2.31444 A  
  51  56   N-N     2.31444 A  
  52  55   N-N     2.31444 A  
   3  14   C-H     2.32389 A  
   6  23   C-H     2.32389 A  
   7  40   C-H     2.32389 A  
   8  43   C-H     2.32389 A  
   1  24   C-H     2.32389 A  
   2  25   C-H     2.32389 A  
   4  33   C-H     2.32389 A  
   5  34   C-H     2.32389 A  
  10  61  Cl-Ni    2.39883 A  
  12  62  Cl-Ni    2.39883 A  
   9  17  Cl-H     2.43699 A  
   9  18  Cl-H     2.43699 A  
   9  19  Cl-H     2.43699 A  
   9  20  Cl-H     2.43699 A  
  11  30  Cl-H     2.43699 A  
  11  31  Cl-H     2.43699 A  
  11  38  Cl-H     2.43699 A  
  11  39  Cl-H     2.43699 A  
  17  66   H-S     2.44746 A  
  18  67   H-S     2.44746 A  
  19  63   H-S     2.44746 A  
  20  64   H-S     2.44746 A  
  30  68   H-S     2.44746 A  
  31  65   H-S     2.44746 A  
  38  70   H-S     2.44746 A  
  39  69   H-S     2.44746 A  
  61  63  Ni-S     2.46160 A  
  61  64  Ni-S     2.46160 A  
  61  66  Ni-S     2.46160 A  
  61  67  Ni-S     2.46160 A  
  62  65  Ni-S     2.46160 A  
  62  68  Ni-S     2.46160 A  
  62  69  Ni-S     2.46160 A  
  62  70  Ni-S     2.46160 A  
   9  61  Cl-Ni    2.51558 A  
  11  62  Cl-Ni    2.51558 A  
  17  60   H-N     2.59382 A *
  20  57   H-N     2.59382 A *
  18  45   H-N     2.59382 A *
  19  54   H-N     2.59382 A *
  30  46   H-N     2.59382 A  
  31  55   H-N     2.59382 A *
  38  56   H-N     2.59382 A *
  39  47   H-N     2.59382 A *
  10  23  Cl-H     2.60781 A  
  10  43  Cl-H     2.60781 A *
  12  24  Cl-H     2.60781 A *
  12  33  Cl-H     2.60781 A *
  10  14  Cl-H     2.60781 A *
  10  40  Cl-H     2.60781 A *
  12  25  Cl-H     2.60781 A *
  12  34  Cl-H     2.60781 A *
  54  68   N-S     2.62410 A  
  60  70   N-S     2.62410 A  
  45  65   N-S     2.62410 A  
  46  63   N-S     2.62410 A  
  47  64   N-S     2.62410 A  
  55  67   N-S     2.62410 A  
  56  66   N-S     2.62410 A  
  57  69   N-S     2.62410 A  
  32  68   H-S     2.64857 A  
  44  70   H-S     2.64857 A  
  13  65   H-S     2.64857 A  
  15  63   H-S     2.64857 A  
  16  64   H-S     2.64857 A  
  35  66   H-S     2.64857 A  
  36  67   H-S     2.64857 A  
  37  69   H-S     2.64857 A  
  48  63   N-S     2.68224 A  
  49  64   N-S     2.68224 A  
  50  65   N-S     2.68224 A  
  51  66   N-S     2.68224 A  
  52  67   N-S     2.68224 A  
  53  68   N-S     2.68224 A  
  58  69   N-S     2.68224 A  
  59  70   N-S     2.68224 A  
  17  63   H-S     2.79072 A  
  18  64   H-S     2.79072 A  
  19  67   H-S     2.79072 A  
  20  66   H-S     2.79072 A  
  30  65   H-S     2.79072 A  
  31  69   H-S     2.79072 A  
  38  68   H-S     2.79072 A  
  39  70   H-S     2.79072 A  
  13  50   H-N     2.81645 A  
  32  53   H-N     2.81645 A  
  37  58   H-N     2.81645 A  
  44  59   H-N     2.81645 A  
  15  48   H-N     2.81645 A  
  16  49   H-N     2.81645 A  
  35  51   H-N     2.81645 A  
  36  52   H-N     2.81645 A  
  14  52   H-N     2.92397 A *
  23  48   H-N     2.92397 A  
  40  49   H-N     2.92397 A *
  43  51   H-N     2.92397 A *
  25  58   H-N     2.92397 A *
  33  59   H-N     2.92397 A *
  24  53   H-N     2.92397 A *
  34  50   H-N     2.92397 A *
  24  29   H-H     2.95222 A *
  25  28   H-H     2.95222 A *
  26  33   H-H     2.95222 A *
  27  34   H-H     2.95222 A *
  14  41   H-H     2.95222 A *
  21  23   H-H     2.95222 A *
  22  43   H-H     2.95222 A *
  40  42   H-H     2.95222 A *
  14  49   H-N     2.95919 A *
  23  52   H-N     2.95919 A  
  40  51   H-N     2.95919 A *
  43  48   H-N     2.95919 A *
  24  50   H-N     2.95919 A *
  25  59   H-N     2.95919 A *
  33  53   H-N     2.95919 A *
  34  58   H-N     2.95919 A *
  12  26  Cl-H     2.96056 A *
  12  28  Cl-H     2.96056 A *
  10  21  Cl-H     2.96056 A *
  10  22  Cl-H     2.96056 A  
  10  41  Cl-H     2.96056 A *
  10  42  Cl-H     2.96056 A *
  12  27  Cl-H     2.96056 A *
  12  29  Cl-H     2.96056 A *
  27  57   H-N     2.96422 A *
  28  60   H-N     2.96422 A *
  22  46   H-N     2.96422 A  
  26  54   H-N     2.96422 A *
  29  45   H-N     2.96422 A *
  21  55   H-N     2.96422 A *
  42  56   H-N     2.96422 A *
  41  47   H-N     2.96422 A *

Nearest neighbors for each atom (up to 4)

 atom   1 species C  : neighbors at    1.323   1.339   1.706   1.731 A
         d(center): 3.561 A  angles  :   120.8   136.5   122.3    17.1   116.9   100.8
 atom   2 species C  : neighbors at    1.323   1.339   1.706   1.731 A
         d(center): 3.561 A  angles  :   120.8   136.5   122.3    17.1   116.9   100.8
 atom   3 species C  : neighbors at    1.323   1.339   1.706   1.731 A
         d(center): 8.391 A  angles  :   120.8   136.5   122.3    17.1   116.9   100.8
 atom   4 species C  : neighbors at    1.323   1.339   1.706   1.731 A
         d(center): 3.561 A  angles  :   120.8   136.5   122.3    17.1   116.9   100.8
 atom   5 species C  : neighbors at    1.323   1.339   1.706   1.731 A
         d(center): 3.561 A  angles  :   120.8   136.5   122.3    17.1   116.9   100.8
 atom   6 species C  : neighbors at    1.323   1.339   1.706   1.731 A
         d(center): 6.494 A  angles  :   120.8   136.5   122.3    17.1   116.9   100.8
 atom   7 species C  : neighbors at    1.323   1.339   1.706   1.731 A
         d(center):11.409 A  angles  :   120.8   136.5   122.3    17.1   116.9   100.8
 atom   8 species C  : neighbors at    1.323   1.339   1.706   1.731 A
         d(center):10.096 A  angles  :   120.8   136.5   122.3    17.1   116.9   100.8
 atom   9 species Cl : neighbors at    2.437   2.437   2.437   2.437 A
         d(center): 2.408 A  angles  :   161.7    88.6    88.6    88.6    88.6   161.7
 atom  10 species Cl : neighbors at    2.399   2.608   2.608   2.608 A
         d(center): 2.507 A  angles  :   119.5   119.5   119.5    75.9   120.9    75.9
 atom  11 species Cl : neighbors at    2.437   2.437   2.437   2.437 A
         d(center): 7.072 A  angles  :    88.6    88.6   161.7   161.7    88.6    88.6
 atom  12 species Cl : neighbors at    2.399   2.608   2.608   2.608 A
         d(center): 9.728 A  angles  :   119.5   119.5   119.5    75.9   120.9    75.9
 atom  13 species H  : neighbors at    0.580   1.366   1.706   2.649 A
         d(center): 7.896 A  angles  :    83.0    42.7    81.3    97.7    96.1    39.9
 atom  14 species H  : neighbors at    1.366   1.418   2.286   2.324 A
         d(center): 8.236 A  angles  :    23.9   126.0    46.7   122.7    31.5    91.6
 atom  15 species H  : neighbors at    0.580   1.366   1.706   2.649 A
         d(center): 4.967 A  angles  :    83.0    42.7    81.3    97.7    96.1    39.9
 atom  16 species H  : neighbors at    0.580   1.366   1.706   2.649 A
         d(center): 4.967 A  angles  :    83.0    42.7    81.3    97.7    96.1    39.9
 atom  17 species H  : neighbors at    1.377   1.443   2.273   2.437 A
         d(center): 3.142 A  angles  :    27.6    31.9   142.6    58.8   159.8   111.4
 atom  18 species H  : neighbors at    1.377   1.443   2.273   2.437 A
         d(center): 3.142 A  angles  :    27.6    31.9   142.6    58.8   159.8   111.4
 atom  19 species H  : neighbors at    1.377   1.443   2.273   2.437 A
         d(center): 3.142 A  angles  :    27.6    31.9   142.6    58.8   159.8   111.4
 atom  20 species H  : neighbors at    1.377   1.443   2.273   2.437 A
         d(center): 3.142 A  angles  :    27.6    31.9   142.6    58.8   159.8   111.4
 atom  21 species H  : neighbors at    0.675   1.443   1.961   2.286 A
         d(center): 7.920 A  angles  :    70.7    15.5   158.3    82.2   117.0   157.9
 atom  22 species H  : neighbors at    0.675   1.443   1.961   2.286 A
         d(center): 3.699 A  angles  :    70.7    15.5   158.3    82.2   117.0   157.9
 atom  23 species H  : neighbors at    1.366   1.418   2.286   2.324 A
         d(center): 4.419 A  angles  :    23.9   126.0    46.7   122.7    31.5    91.6
