['N', '1']:		 [-1.56464967 -3.89460017 -5.45924983]
['N', '3']:		 [-0.24962428 -0.39988786 -0.64951214]
['N', '4']:		 [-1.43305552 -3.84879724 -5.28185276]
['N', '6']:		 [-0.22323208 -0.47383396 -0.69706604]
['N', '23']:		 [-0.22323208 -0.47383396 -0.69706604]
['N', '25']:		 [-1.43305552 -3.84879724 -5.28185276]
['N', '26']:		 [-0.24962428 -0.39988786 -0.64951214]
['N', '28']:		 [-1.56464967 -3.89460017 -5.45924983]
['N', '37']:		 [-0.22323208 -0.47383396 -0.69706604]
['N', '39']:		 [-1.43305552 -3.84879724 -5.28185276]
['N', '40']:		 [-0.24962428 -0.39988786 -0.64951214]
['N', '42']:		 [-1.56464967 -3.89460017 -5.45924983]
['N', '51']:		 [-0.22323208 -0.47383396 -0.69706604]
['N', '53']:		 [-1.43305552 -3.84879724 -5.28185276]
['N', '54']:		 [-0.24962428 -0.39988786 -0.64951214]
['N', '56']:		 [-1.56464967 -3.89460017 -5.45924983]
