['N', '1']:		 [-1.56529453 -3.89555273 -5.46084727]
['N', '3']:		 [-0.24893693 -0.40045653 -0.64939347]
['N', '4']:		 [-1.43347359 -3.84933821 -5.28281179]
['N', '6']:		 [-0.22246502 -0.47384249 -0.69630751]
['N', '23']:		 [-0.22246112 -0.47384444 -0.69630556]
['N', '25']:		 [-1.43347359 -3.84933821 -5.28281179]
['N', '26']:		 [-0.2489935  -0.40050325 -0.64949675]
['N', '28']:		 [-1.56528844 -3.89563078 -5.46091922]
['N', '37']:		 [-0.22246502 -0.47384249 -0.69630751]
['N', '39']:		 [-1.43347359 -3.84933821 -5.28281179]
['N', '40']:		 [-0.24893693 -0.40045653 -0.64939347]
['N', '42']:		 [-1.56529453 -3.89555273 -5.46084727]
['N', '51']:		 [-0.22246112 -0.47384444 -0.69630556]
['N', '53']:		 [-1.43347359 -3.84933821 -5.28281179]
['N', '54']:		 [-0.2489935  -0.40050325 -0.64949675]
['N', '56']:		 [-1.56528844 -3.89563078 -5.46091922]
