['N', '1']:		 [-1.5804399  -3.89330505 -5.47374495]
['N', '3']:		 [-0.2403824 -0.4023338 -0.6427162]
['N', '4']:		 [-1.4303795  -3.87181025 -5.30218975]
['N', '6']:		 [-0.24274969 -0.44570016 -0.68844984]
['N', '23']:		 [-0.24274969 -0.44570016 -0.68844984]
['N', '25']:		 [-1.4303795  -3.87181025 -5.30218975]
['N', '26']:		 [-0.2403824 -0.4023338 -0.6427162]
['N', '28']:		 [-1.5804399  -3.89330505 -5.47374495]
['N', '37']:		 [-0.24274969 -0.44570016 -0.68844984]
['N', '39']:		 [-1.4303795  -3.87181025 -5.30218975]
['N', '40']:		 [-0.2403824 -0.4023338 -0.6427162]
['N', '42']:		 [-1.5804399  -3.89330505 -5.47374495]
['N', '51']:		 [-0.24274969 -0.44570016 -0.68844984]
['N', '53']:		 [-1.4303795  -3.87181025 -5.30218975]
['N', '54']:		 [-0.2403824 -0.4023338 -0.6427162]
['N', '56']:		 [-1.5804399  -3.89330505 -5.47374495]
