['N', '1']:		 [-1.57709333 -3.88515334 -5.46224666]
['N', '3']:		 [-0.23102668 -0.41151166 -0.64253834]
['N', '4']:		 [-1.4268067  -3.86527165 -5.29207835]
['N', '6']:		 [-0.23421373 -0.45491814 -0.68913186]
['N', '23']:		 [-0.23421373 -0.45491814 -0.68913186]
['N', '25']:		 [-1.4268067  -3.86527165 -5.29207835]
['N', '26']:		 [-0.23102668 -0.41151166 -0.64253834]
['N', '28']:		 [-1.57709333 -3.88515334 -5.46224666]
['N', '37']:		 [-0.23421373 -0.45491814 -0.68913186]
['N', '39']:		 [-1.4268067  -3.86527165 -5.29207835]
['N', '40']:		 [-0.23102668 -0.41151166 -0.64253834]
['N', '42']:		 [-1.57709333 -3.88515334 -5.46224666]
['N', '51']:		 [-0.23421373 -0.45491814 -0.68913186]
['N', '53']:		 [-1.4268067  -3.86527165 -5.29207835]
['N', '54']:		 [-0.23102668 -0.41151166 -0.64253834]
['N', '56']:		 [-1.57709333 -3.88515334 -5.46224666]
