['N', '1']:		 [-1.57799671 -3.88710165 -5.46509835]
['N', '3']:		 [-0.23171397 -0.41109302 -0.64280698]
['N', '4']:		 [-1.42753839 -3.86715581 -5.29469419]
['N', '6']:		 [-0.23488461 -0.45450769 -0.68939231]
['N', '23']:		 [-0.23488461 -0.45450769 -0.68939231]
['N', '25']:		 [-1.42753839 -3.86715581 -5.29469419]
['N', '26']:		 [-0.23171397 -0.41109302 -0.64280698]
['N', '28']:		 [-1.57799671 -3.88710165 -5.46509835]
['N', '37']:		 [-0.23488461 -0.45450769 -0.68939231]
['N', '39']:		 [-1.42753839 -3.86715581 -5.29469419]
['N', '40']:		 [-0.23171397 -0.41109302 -0.64280698]
['N', '42']:		 [-1.57799671 -3.88710165 -5.46509835]
['N', '51']:		 [-0.23488461 -0.45450769 -0.68939231]
['N', '53']:		 [-1.42753839 -3.86715581 -5.29469419]
['N', '54']:		 [-0.23171397 -0.41109302 -0.64280698]
['N', '56']:		 [-1.57799671 -3.88710165 -5.46509835]
