['N', '1']:		 [-1.56813685 -3.90290658 -5.47104342]
['N', '3']:		 [-0.25890404 -0.39037298 -0.64927702]
['N', '4']:		 [-1.43676364 -3.85496818 -5.29173182]
['N', '6']:		 [-0.23130993 -0.46537004 -0.69667996]
['N', '23']:		 [-0.23130993 -0.46537004 -0.69667996]
['N', '25']:		 [-1.43676364 -3.85496818 -5.29173182]
['N', '26']:		 [-0.25890404 -0.39037298 -0.64927702]
['N', '28']:		 [-1.56813685 -3.90290658 -5.47104342]
['N', '37']:		 [-0.23130993 -0.46537004 -0.69667996]
['N', '39']:		 [-1.43676364 -3.85496818 -5.29173182]
['N', '40']:		 [-0.25890404 -0.39037298 -0.64927702]
['N', '42']:		 [-1.56813685 -3.90290658 -5.47104342]
['N', '51']:		 [-0.23130993 -0.46537004 -0.69667996]
['N', '53']:		 [-1.43676364 -3.85496818 -5.29173182]
['N', '54']:		 [-0.25890404 -0.39037298 -0.64927702]
['N', '56']:		 [-1.56813685 -3.90290658 -5.47104342]
