Distances between atoms, up to dmax=  3.00 A   (* = with lattice translation)
  #1  #2   bond       d
   8   9   C-H     1.09265 A  
  34  35   H-C     1.09265 A  
  20  21   H-C     1.09267 A  
  48  49   H-C     1.09267 A  
  19  21   H-C     1.09324 A  
  47  49   H-C     1.09324 A  
  33  35   H-C     1.09333 A  
   8  10   C-H     1.09333 A  
  29  31   H-C     1.09423 A  
  12  14   C-H     1.09423 A  
  15  17   H-C     1.09426 A  
  43  45   H-C     1.09426 A  
  16  17   H-C     1.10268 A  
  44  45   H-C     1.10268 A  
  12  13   C-H     1.10269 A  
  30  31   H-C     1.10269 A  
   5   6   O-N     1.23675 A  
  37  38   N-O     1.23675 A  
  23  24   N-O     1.23700 A  
  51  52   N-O     1.23700 A  
  22  26   O-N     1.23788 A  
  50  54   O-N     1.23788 A  
   3   7   N-O     1.23813 A  
  36  40   O-N     1.23813 A  
  40  41   N-O     1.24369 A  
   2   3   O-N     1.24369 A  
  26  27   N-O     1.24372 A  
  54  55   N-O     1.24372 A  
  46  51   O-N     1.24847 A  
  18  23   O-N     1.24847 A  
  32  37   O-N     1.24880 A  
   6  11   N-O     1.24880 A  
  40  42   N-N     1.38500 A  
   1   3   N-N     1.38500 A  
  54  56   N-N     1.38511 A  
  26  28   N-N     1.38511 A  
  37  39   N-N     1.39296 A  
   4   6   N-N     1.39296 A  
  23  25   N-N     1.39298 A  
  51  53   N-N     1.39298 A  
   1   8   N-C     1.44129 A  
  35  42   C-N     1.44129 A  
  49  56   C-N     1.44137 A  
  21  28   C-N     1.44137 A  
  17  53   C-N     1.45317 A  
  25  45   N-C     1.45317 A  
  12  39   C-N     1.45320 A  
   4  31   N-C     1.45320 A  
  17  28   C-N     1.46487 A  
  45  56   C-N     1.46487 A  
  31  42   C-N     1.46492 A  
   1  12   N-C     1.46492 A  
   4   8   N-C     1.48563 A  
  35  39   C-N     1.48563 A  
  21  25   C-N     1.48565 A  
  49  53   C-N     1.48565 A  
  13  14   H-H     1.78732 A  
  29  30   H-H     1.78732 A  
  15  16   H-H     1.78732 A  
  43  44   H-H     1.78732 A  
  19  20   H-H     1.79303 A  
  47  48   H-H     1.79303 A  
   9  10   H-H     1.79304 A  
  33  34   H-H     1.79304 A  
   1   9   N-H     2.05072 A  
  34  42   H-N     2.05072 A  
  20  28   H-N     2.05072 A  
  48  56   H-N     2.05072 A  
  15  53   H-N     2.06317 A  
  25  43   N-H     2.06317 A  
   4  29   N-H     2.06322 A  
  14  39   H-N     2.06322 A  
  16  28   H-N     2.06886 A  
  44  56   H-N     2.06886 A  
   1  13   N-H     2.06890 A  
  30  42   H-N     2.06890 A  
   1  10   N-H     2.08139 A  
  33  42   H-N     2.08139 A  
  19  28   H-N     2.08140 A  
  47  56   H-N     2.08140 A  
  16  53   H-N     2.10010 A  
  25  44   N-H     2.10010 A  
   4  30   N-H     2.10014 A  
  13  39   H-N     2.10014 A  
  33  39   H-N     2.10391 A  
   4  10   N-H     2.10391 A  
  19  25   H-N     2.10394 A  
  47  53   H-N     2.10394 A  
   1  14   N-H     2.12425 A  
  29  42   H-N     2.12425 A  
  15  28   H-N     2.12426 A  
  43  56   H-N     2.12426 A  
  34  39   H-N     2.12671 A  
   4   9   N-H     2.12671 A  
  20  25   H-N     2.12677 A  
  48  53   H-N     2.12677 A  
   9  32   H-O     2.13928 A *
  11  34   O-H     2.13928 A *
  18  48   O-H     2.13939 A *
  20  46   H-O     2.13939 A *
  16  20   H-H     2.19092 A  
  44  48   H-H     2.19092 A  
   9  13   H-H     2.19094 A  
  30  34   H-H     2.19094 A  
  46  52   O-O     2.20866 A  
  18  24   O-O     2.20866 A  
   5  11   O-O     2.20870 A  
  32  38   O-O     2.20870 A  
  22  27   O-O     2.21419 A  
  50  55   O-O     2.21419 A  
   2   7   O-O     2.21433 A  
  36  41   O-O     2.21433 A  
  24  43   O-H     2.21604 A  
  15  52   H-O     2.21604 A  
   5  29   O-H     2.21606 A  
  14  38   H-O     2.21606 A  
