['N', '13']:		 [-0.31265888 -0.65404556 -0.96670444]
['N', '14']:		 [-0.27467292 -0.63006354 -0.90473646]
['N', '15']:		 [-0.27889404 -0.70760298 -0.98649702]
['N', '16']:		 [-0.32503203 -0.64815898 -0.97319102]
['N', '17']:		 [-0.25233039 -0.6390598  -0.8913902 ]
['N', '18']:		 [-0.29170937 -0.67779531 -0.96950469]
['N', '67']:		 [-0.29170937 -0.67779531 -0.96950469]
['N', '68']:		 [-0.25233039 -0.6390598  -0.8913902 ]
['N', '69']:		 [-0.32503203 -0.64815898 -0.97319102]
['N', '70']:		 [-0.27889404 -0.70760298 -0.98649702]
['N', '71']:		 [-0.27467292 -0.63006354 -0.90473646]
['N', '72']:		 [-0.31265888 -0.65404556 -0.96670444]
['N', '109']:		 [-0.29170937 -0.67779531 -0.96950469]
['N', '110']:		 [-0.25233039 -0.6390598  -0.8913902 ]
['N', '111']:		 [-0.32503203 -0.64815898 -0.97319102]
['N', '112']:		 [-0.27889404 -0.70760298 -0.98649702]
['N', '113']:		 [-0.27467292 -0.63006354 -0.90473646]
['N', '114']:		 [-0.31265888 -0.65404556 -0.96670444]
['N', '151']:		 [-0.29170937 -0.67779531 -0.96950469]
['N', '152']:		 [-0.25233039 -0.6390598  -0.8913902 ]
['N', '153']:		 [-0.32503203 -0.64815898 -0.97319102]
['N', '154']:		 [-0.27889404 -0.70760298 -0.98649702]
['N', '155']:		 [-0.27467292 -0.63006354 -0.90473646]
['N', '156']:		 [-0.31265888 -0.65404556 -0.96670444]
