['N', '13']:		 [-0.31223531 -0.65395735 -0.96619265]
['N', '14']:		 [-0.27543868 -0.62848066 -0.90391934]
['N', '15']:		 [-0.27806683 -0.70689159 -0.98495841]
['N', '16']:		 [-0.32988057 -0.64228472 -0.97216528]
['N', '17']:		 [-0.25386426 -0.63649287 -0.89035713]
['N', '18']:		 [-0.29024232 -0.67777884 -0.96802116]
['N', '67']:		 [-0.29024232 -0.67777884 -0.96802116]
['N', '68']:		 [-0.25386426 -0.63649287 -0.89035713]
['N', '69']:		 [-0.32988057 -0.64228472 -0.97216528]
['N', '70']:		 [-0.27806683 -0.70689159 -0.98495841]
['N', '71']:		 [-0.27543868 -0.62848066 -0.90391934]
['N', '72']:		 [-0.31223531 -0.65395735 -0.96619265]
['N', '109']:		 [-0.29024232 -0.67777884 -0.96802116]
['N', '110']:		 [-0.25386426 -0.63649287 -0.89035713]
['N', '111']:		 [-0.32988057 -0.64228472 -0.97216528]
['N', '112']:		 [-0.27806683 -0.70689159 -0.98495841]
['N', '113']:		 [-0.27543868 -0.62848066 -0.90391934]
['N', '114']:		 [-0.31223531 -0.65395735 -0.96619265]
['N', '151']:		 [-0.29024232 -0.67777884 -0.96802116]
['N', '152']:		 [-0.25386426 -0.63649287 -0.89035713]
['N', '153']:		 [-0.32988057 -0.64228472 -0.97216528]
['N', '154']:		 [-0.27806683 -0.70689159 -0.98495841]
['N', '155']:		 [-0.27543868 -0.62848066 -0.90391934]
['N', '156']:		 [-0.31223531 -0.65395735 -0.96619265]
