['N', '13']:		 [-0.31409461 -0.6525027  -0.9665973 ]
['N', '14']:		 [-0.27744489 -0.62695256 -0.90439744]
['N', '15']:		 [-0.27974283 -0.70627858 -0.98602142]
['N', '16']:		 [-0.32854052 -0.64385474 -0.97239526]
['N', '17']:		 [-0.25401887 -0.63611556 -0.89013444]
['N', '18']:		 [-0.29379435 -0.67502782 -0.96882218]
['N', '67']:		 [-0.29379435 -0.67502782 -0.96882218]
['N', '68']:		 [-0.25401887 -0.63611556 -0.89013444]
['N', '69']:		 [-0.32854052 -0.64385474 -0.97239526]
['N', '70']:		 [-0.27974283 -0.70627858 -0.98602142]
['N', '71']:		 [-0.27744489 -0.62695256 -0.90439744]
['N', '72']:		 [-0.31409461 -0.6525027  -0.9665973 ]
['N', '109']:		 [-0.29379435 -0.67502782 -0.96882218]
['N', '110']:		 [-0.25401887 -0.63611556 -0.89013444]
['N', '111']:		 [-0.32854052 -0.64385474 -0.97239526]
['N', '112']:		 [-0.27974283 -0.70627858 -0.98602142]
['N', '113']:		 [-0.27744489 -0.62695256 -0.90439744]
['N', '114']:		 [-0.31409461 -0.6525027  -0.9665973 ]
['N', '151']:		 [-0.29379435 -0.67502782 -0.96882218]
['N', '152']:		 [-0.25401887 -0.63611556 -0.89013444]
['N', '153']:		 [-0.32854052 -0.64385474 -0.97239526]
['N', '154']:		 [-0.27974283 -0.70627858 -0.98602142]
['N', '155']:		 [-0.27744489 -0.62695256 -0.90439744]
['N', '156']:		 [-0.31409461 -0.6525027  -0.9665973 ]
