['N', '13']:		 [-0.3048542 -0.6564479 -0.9613021]
['N', '14']:		 [-0.26774696 -0.63082652 -0.89857348]
['N', '15']:		 [-0.26979947 -0.71072526 -0.98052474]
['N', '16']:		 [-0.31932769 -0.64786116 -0.96718884]
['N', '17']:		 [-0.24417762 -0.64006119 -0.88423881]
['N', '18']:		 [-0.28396491 -0.67934255 -0.96330745]
['N', '67']:		 [-0.28396491 -0.67934255 -0.96330745]
['N', '68']:		 [-0.2441827  -0.64005865 -0.88424135]
['N', '69']:		 [-0.31934384 -0.64785308 -0.96719692]
['N', '70']:		 [-0.26981639 -0.71071681 -0.98053319]
['N', '71']:		 [-0.26775206 -0.63082397 -0.89857603]
['N', '72']:		 [-0.3048542 -0.6564479 -0.9613021]
['N', '109']:		 [-0.28396491 -0.67934255 -0.96330745]
['N', '110']:		 [-0.24417762 -0.64006119 -0.88423881]
['N', '111']:		 [-0.31932769 -0.64786116 -0.96718884]
['N', '112']:		 [-0.26979947 -0.71072526 -0.98052474]
['N', '113']:		 [-0.26774696 -0.63082652 -0.89857348]
['N', '114']:		 [-0.3048542 -0.6564479 -0.9613021]
['N', '151']:		 [-0.28396491 -0.67934255 -0.96330745]
['N', '152']:		 [-0.2441827  -0.64005865 -0.88424135]
['N', '153']:		 [-0.31934384 -0.64785308 -0.96719692]
['N', '154']:		 [-0.26981639 -0.71071681 -0.98053319]
['N', '155']:		 [-0.26775206 -0.63082397 -0.89857603]
['N', '156']:		 [-0.3048542 -0.6564479 -0.9613021]
