['N', '2']:		 [-1.98403488 -3.25463256 -5.23866744]
['N', '3']:		 [-0.23320678 -0.31427161 -0.54747839]
['N', '7']:		 [-1.90095994 -3.35429503 -5.25525497]
['N', '10']:		 [-0.22764093 -0.38530454 -0.61294547]
['N', '12']:		 [-1.89522749 -3.43718626 -5.33241374]
['N', '13']:		 [-0.27726371 -0.30806814 -0.58533186]
['N', '17']:		 [-1.82692438 -3.56553781 -5.39246219]
['N', '18']:		 [-0.25922011 -0.39013994 -0.64936006]
['N', '22']:		 [-1.88574606 -3.40757697 -5.29332303]
['N', '23']:		 [-0.27418515 -0.35783242 -0.63201758]
['N', '27']:		 [-1.92507134 -3.26851433 -5.19358567]
['N', '28']:		 [-0.2392536 -0.3689982 -0.6082518]
['N', '57']:		 [-0.2392536 -0.3689982 -0.6082518]
['N', '58']:		 [-1.92507134 -3.26851433 -5.19358567]
['N', '62']:		 [-0.27418515 -0.35783242 -0.63201758]
['N', '63']:		 [-1.88574606 -3.40757697 -5.29332303]
['N', '67']:		 [-0.25922011 -0.39013994 -0.64936006]
['N', '68']:		 [-1.82692438 -3.56553781 -5.39246219]
['N', '72']:		 [-0.27726371 -0.30806814 -0.58533186]
['N', '73']:		 [-1.89522749 -3.43718626 -5.33241374]
['N', '75']:		 [-0.22764093 -0.38530454 -0.61294547]
['N', '78']:		 [-1.90095994 -3.35429503 -5.25525497]
['N', '82']:		 [-0.23320678 -0.31427161 -0.54747839]
['N', '83']:		 [-1.98403488 -3.25463256 -5.23866744]
['N', '99']:		 [-0.2392536 -0.3689982 -0.6082518]
['N', '100']:		 [-1.92507134 -3.26851433 -5.19358567]
['N', '104']:		 [-0.27418515 -0.35783242 -0.63201758]
['N', '105']:		 [-1.88574606 -3.40757697 -5.29332303]
['N', '109']:		 [-0.25922011 -0.39013994 -0.64936006]
['N', '110']:		 [-1.82692438 -3.56553781 -5.39246219]
['N', '114']:		 [-0.27726371 -0.30806814 -0.58533186]
['N', '115']:		 [-1.89522749 -3.43718626 -5.33241374]
['N', '117']:		 [-0.22764093 -0.38530454 -0.61294547]
['N', '120']:		 [-1.90095994 -3.35429503 -5.25525497]
['N', '124']:		 [-0.23320678 -0.31427161 -0.54747839]
['N', '125']:		 [-1.98403488 -3.25463256 -5.23866744]
['N', '141']:		 [-0.2392536 -0.3689982 -0.6082518]
['N', '142']:		 [-1.92507134 -3.26851433 -5.19358567]
['N', '146']:		 [-0.27418515 -0.35783242 -0.63201758]
['N', '147']:		 [-1.88574606 -3.40757697 -5.29332303]
['N', '151']:		 [-0.25922011 -0.39013994 -0.64936006]
['N', '152']:		 [-1.82692438 -3.56553781 -5.39246219]
['N', '156']:		 [-0.27726371 -0.30806814 -0.58533186]
['N', '157']:		 [-1.89522749 -3.43718626 -5.33241374]
['N', '159']:		 [-0.22764093 -0.38530454 -0.61294547]
['N', '162']:		 [-1.90095994 -3.35429503 -5.25525497]
['N', '166']:		 [-0.23320678 -0.31427161 -0.54747839]
['N', '167']:		 [-1.98403488 -3.25463256 -5.23866744]
