['N', '7']:		 [-1.81159552 -3.53772724 -5.34932276]
['N', '8']:		 [-1.86245329 -3.42267336 -5.28512665]
['N', '9']:		 [-1.74194502 -3.59257749 -5.33452251]
['N', '10']:		 [-0.26969305 -0.34567847 -0.61537153]
['N', '11']:		 [-0.22864088 -0.37670456 -0.60534544]
['N', '12']:		 [-0.26306973 -0.42309013 -0.68615987]
['N', '31']:		 [-0.26306973 -0.42309013 -0.68615987]
['N', '32']:		 [-0.22864088 -0.37670456 -0.60534544]
['N', '33']:		 [-0.26969305 -0.34567847 -0.61537153]
['N', '34']:		 [-1.74194502 -3.59257749 -5.33452251]
['N', '35']:		 [-1.86245329 -3.42267336 -5.28512665]
['N', '36']:		 [-1.81159552 -3.53772724 -5.34932276]
['N', '52']:		 [-0.26306832 -0.42316584 -0.68623416]
['N', '53']:		 [-0.22868344 -0.37668328 -0.60536672]
['N', '54']:		 [-0.26970266 -0.34567367 -0.61537633]
['N', '55']:		 [-1.74194502 -3.59257749 -5.33452251]
['N', '56']:		 [-1.86245329 -3.42267336 -5.28512665]
['N', '57']:		 [-1.8115659  -3.53774205 -5.34930795]
['N', '73']:		 [-0.26306832 -0.42316584 -0.68623416]
['N', '74']:		 [-0.22868344 -0.37668328 -0.60536672]
['N', '75']:		 [-0.26970266 -0.34567367 -0.61537633]
['N', '76']:		 [-1.74194502 -3.59257749 -5.33452251]
['N', '77']:		 [-1.86245329 -3.42267336 -5.28512665]
['N', '78']:		 [-1.8115659  -3.53774205 -5.34930795]
['N', '94']:		 [-0.26306973 -0.42309013 -0.68615987]
['N', '95']:		 [-0.22864088 -0.37670456 -0.60534544]
['N', '96']:		 [-0.26969305 -0.34567847 -0.61537153]
['N', '97']:		 [-1.74194502 -3.59257749 -5.33452251]
['N', '98']:		 [-1.86245329 -3.42267336 -5.28512665]
['N', '99']:		 [-1.81159552 -3.53772724 -5.34932276]
['N', '115']:		 [-0.26306973 -0.42309013 -0.68615987]
['N', '116']:		 [-0.22864088 -0.37670456 -0.60534544]
['N', '117']:		 [-0.26969305 -0.34567847 -0.61537153]
['N', '118']:		 [-1.74194502 -3.59257749 -5.33452251]
['N', '119']:		 [-1.86245329 -3.42267336 -5.28512665]
['N', '120']:		 [-1.81159552 -3.53772724 -5.34932276]
['N', '136']:		 [-0.26306832 -0.42316584 -0.68623416]
['N', '137']:		 [-0.22868344 -0.37668328 -0.60536672]
['N', '138']:		 [-0.26970266 -0.34567367 -0.61537633]
['N', '139']:		 [-1.74194502 -3.59257749 -5.33452251]
['N', '140']:		 [-1.86245329 -3.42267336 -5.28512665]
['N', '141']:		 [-1.8115659  -3.53774205 -5.34930795]
['N', '157']:		 [-0.26306832 -0.42316584 -0.68623416]
['N', '158']:		 [-0.22868344 -0.37668328 -0.60536672]
['N', '159']:		 [-0.26970266 -0.34567367 -0.61537633]
['N', '160']:		 [-1.74194502 -3.59257749 -5.33452251]
['N', '161']:		 [-1.86245329 -3.42267336 -5.28512665]
['N', '162']:		 [-1.8115659  -3.53774205 -5.34930795]
