['N', '13']:		 [-0.37531986 -0.59436507 -0.96968493]
['N', '14']:		 [-0.35936496 -0.58554252 -0.94490748]
['N', '15']:		 [-0.36076776 -0.66884112 -1.02960888]
['N', '16']:		 [-0.39083999 -0.57693    -0.96777   ]
['N', '17']:		 [-0.32863996 -0.61155502 -0.94019498]
['N', '18']:		 [-0.40334169 -0.61057915 -1.01392084]
['N', '67']:		 [-0.40334169 -0.61057915 -1.01392084]
['N', '68']:		 [-0.32863996 -0.61155502 -0.94019498]
['N', '69']:		 [-0.39083999 -0.57693    -0.96777   ]
['N', '70']:		 [-0.36076776 -0.66884112 -1.02960888]
['N', '71']:		 [-0.35936496 -0.58554252 -0.94490748]
['N', '72']:		 [-0.37531986 -0.59436507 -0.96968493]
['N', '109']:		 [-0.40334169 -0.61057915 -1.01392084]
['N', '110']:		 [-0.32863996 -0.61155502 -0.94019498]
['N', '111']:		 [-0.39083999 -0.57693    -0.96777   ]
['N', '112']:		 [-0.36076776 -0.66884112 -1.02960888]
['N', '113']:		 [-0.35936496 -0.58554252 -0.94490748]
['N', '114']:		 [-0.37531986 -0.59436507 -0.96968493]
['N', '151']:		 [-0.40334169 -0.61057915 -1.01392084]
['N', '152']:		 [-0.32863996 -0.61155502 -0.94019498]
['N', '153']:		 [-0.39083999 -0.57693    -0.96777   ]
['N', '154']:		 [-0.36076776 -0.66884112 -1.02960888]
['N', '155']:		 [-0.35936496 -0.58554252 -0.94490748]
['N', '156']:		 [-0.37531986 -0.59436507 -0.96968493]
