['N', '1']:		 [-1.5134457  -3.78797715 -5.30142285]
['N', '8']:		 [ 0.31858992  0.43470504  0.75329496]
['N', '9']:		 [-1.4975908 -3.7491046 -5.2466954]
['N', '16']:		 [ 0.26742699  0.4698865   0.7373135 ]
['N', '17']:		 [-1.48617527 -4.04536237 -5.53153763]
['N', '24']:		 [ 0.28923421  0.4775079   0.7667421 ]
['N', '25']:		 [-1.5822949  -3.82330255 -5.40559745]
['N', '28']:		 [ 0.239984  0.394208  0.634192]
['N', '30']:		 [-1.54953045 -3.62555978 -5.17509022]
['N', '31']:		 [ 0.3105816  0.3555342  0.6661158]
['N', '33']:		 [-1.38812519 -3.89053741 -5.27866259]
['N', '35']:		 [ 0.32129885  0.40252558  0.72382442]
['N', '38']:		 [ 0.32121249  0.40256875  0.72378125]
['N', '40']:		 [-1.38811733 -3.89061633 -5.27873367]
['N', '42']:		 [ 0.31060544  0.35552228  0.66612772]
['N', '43']:		 [-1.54944244 -3.62560378 -5.17504622]
['N', '45']:		 [ 0.23989557  0.39432721  0.63422279]
['N', '48']:		 [-1.58223338 -3.82333331 -5.40556669]
['N', '49']:		 [ 0.28926739  0.47749131  0.76675869]
['N', '56']:		 [-1.48617527 -4.04536237 -5.53153763]
['N', '57']:		 [ 0.26751849  0.46976575  0.73728425]
['N', '64']:		 [-1.49771074 -3.74904463 -5.24675537]
['N', '65']:		 [ 0.31858929  0.43463036  0.75321964]
['N', '72']:		 [-1.51353659 -3.78793171 -5.30146829]
['N', '74']:		 [ 0.32129885  0.40252558  0.72382442]
['N', '76']:		 [-1.38812519 -3.89053741 -5.27866259]
['N', '78']:		 [ 0.3105816  0.3555342  0.6661158]
['N', '79']:		 [-1.54953045 -3.62555978 -5.17509022]
['N', '81']:		 [ 0.239984  0.394208  0.634192]
['N', '84']:		 [-1.5822949  -3.82330255 -5.40559745]
['N', '85']:		 [ 0.28923421  0.4775079   0.7667421 ]
['N', '92']:		 [-1.48617527 -4.04536237 -5.53153763]
['N', '93']:		 [ 0.26742699  0.4698865   0.7373135 ]
['N', '100']:		 [-1.4975908 -3.7491046 -5.2466954]
['N', '101']:		 [ 0.31858992  0.43470504  0.75329496]
['N', '108']:		 [-1.5134457  -3.78797715 -5.30142285]
['N', '110']:		 [ 0.32121249  0.40256875  0.72378125]
['N', '112']:		 [-1.38811733 -3.89061633 -5.27873367]
['N', '114']:		 [ 0.31060544  0.35552228  0.66612772]
['N', '115']:		 [-1.54944244 -3.62560378 -5.17504622]
['N', '117']:		 [ 0.23989557  0.39432721  0.63422279]
['N', '120']:		 [-1.58223338 -3.82333331 -5.40556669]
['N', '121']:		 [ 0.28926739  0.47749131  0.76675869]
['N', '128']:		 [-1.48617527 -4.04536237 -5.53153763]
['N', '129']:		 [ 0.26751849  0.46976575  0.73728425]
['N', '136']:		 [-1.49771074 -3.74904463 -5.24675537]
['N', '137']:		 [ 0.31858929  0.43463036  0.75321964]
['N', '144']:		 [-1.51353659 -3.78793171 -5.30146829]
